GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
90.9594,1519.88,942.042,66.9524,202.403,1576.36,2.5,183.551,17.6664,5.9
77,1466,945,63,125,1096,2.5,111,20,5.9
68,1416,945,63,122,1035,2.5,110,23,5.9
76,1502,945,63,138,990,2.5,116,23,5.9
71,1437,945,63,101,976,2.5,113,24,5.9
71,1516,945,65,161,976,2.5,114,22,5.9
75,1412,945,64,125,976,2.5,111,21,5.9
67,1432,945,64,138,976,2.5,106,24,5.9
66,1494,945,65,136,976,2.5,113,22,5.9
70,1331,945,64,100,976,2.5,108,19,5.9
69,1495,945,66,126,976,2.5,117,19,5.9
66,1380,945,65,102,976,2.5,118,20,5.9
61,1322,945,66,101,976,2.5,111,21,5.9
62,1459,945,67,141,1139,2.5,123,21,5.9
64,1469,945,67,144,1254,2.5,125,22,5.9
61,1557,945,68,192,1382,2.5,127,19,5.9
76,1475,945,67,140,1545,2.5,128,21,5.9
71,1586,945,68,191,1666,2.5,136,19,5.9
69,1518,945,67,193,1802,2.5,128,20,5.9
79,1547,945,67,186,1834,2.5,137,22,5.9
64,1587,945,68,210,1834,2.5,160,20,5.9
89,1548,945,68,217,1863,2.5,166,23,5.9
78,1557,945,68,215,1867,2.5,174,21,5.9
86,1572,945,68,216,1887,2.5,165,20,5.9
88,1532,945,67,218,1901,2.5,207,20,5.9
79,1574,945,68,217,1915,2.5,179,22,5.9
82,1570,945,67,217,1937,2.5,164,20,5.9
71,1583,945,67,208,1940,2.5,170,21,5.9
99,1551,945,67,219,1940,2.5,181,21,5.9
99,1542,945,66,220,1944,2.5,205,16,5.9
98,1539,945,67,220,1940,2.5,190,19,5.9
99,1537,945,66,219,1940,2.5,205,19,5.9
98,1534,945,66,220,1936,2.5,213,20,5.9
67,1429,800,64,89,1940,2.5,169,19,5.9
59,1472,945,63,138,1922,2.5,126,21,5.9
73,1549,800,64,179,1887,2.5,126,18,5.9
69,1442,945,63,126,1831,2.5,126,19,5.9
68,1560,945,63,153,1768,2.5,132,19,5.9
81,1548,945,64,178,1702,2.5,125,18,5.9
75,1587,945,64,216,1645,2.5,156,19,5.9
84,1581,945,65,219,1635,2.5,170,20,5.9
96,1561,945,64,218,1658,2.5,185,19,5.9
95,1556,945,65,217,1702,2.5,186,21,5.9
92,1543,945,65,220,1733,2.5,180,21,5.9
99,1547,945,65,220,1739,2.5,213,21,5.9
81,1570,945,65,218,1733,2.5,183,21,5.9
98,1574,945,65,219,1733,2.5,164,20,5.9
98,1544,945,65,218,1710,2.5,210,20,5.9
99,1543,945,65,219,1702,2.5,192,18,5.9
99,1543,945,65,220,1702,2.5,190,18,5.9
98,1542,945,65,219,1702,2.5,193,19,5.9
98,1542,945,65,219,1699,2.5,197,19,5.9
99,1541,945,65,220,1702,2.5,194,18,5.9
99,1539,945,65,220,1704,2.5,181,19,5.9
99,1535,945,65,220,1699,2.5,181,20,5.9
99,1529,945,66,220,1702,2.5,189,18,5.9
99,1526,945,66,218,1699,2.5,205,17,5.9
98,1540,945,66,220,1699,2.5,208,17,5.9
95,1542,945,65,220,1699,2.5,176,19,5.9
99,1538,945,65,220,1677,2.5,176,21,5.9
99,1536,945,66,221,1648,2.5,197,20,5.9
99,1531,945,65,220,1609,2.5,194,19,5.9
78,1529,945,66,211,1587,2.5,200,19,5.9
98,1546,945,66,220,1570,2.5,205,20,5.9
99,1540,945,66,219,1566,2.5,182,18,5.9
99,1530,945,66,220,1563,2.5,217,18,5.9
77,1588,945,66,209,1563,2.5,195,19,5.9
65,1477,800,64,121,1561,2.5,158,21,5.9
73,1444,945,64,126,1515,2.5,121,20,5.9
67,1366,945,63,120,1452,2.5,114,20,5.9
99,1464,945,64,220,1383,2.5,151,17,5.9
98,1510,945,65,219,1323,2.5,207,13,5.9
99,1533,945,65,220,1362,2.5,158,13,5.9
99,1529,945,66,219,1428,2.5,186,14,5.9
98,1528,945,66,219,1527,2.5,207,15,5.9
99,1511,945,66,218,1632,2.5,199,15,5.9
99,1507,945,66,220,1718,2.5,197,16,5.9
99,1509,945,67,219,1765,2.5,186,15,5.9
98,1528,945,67,221,1796,2.5,207,15,5.9
99,1527,945,66,219,1799,2.5,209,15,5.9
99,1526,945,67,218,1799,2.5,213,14,5.9
98,1529,945,66,220,1802,2.5,215,13,5.9
98,1529,945,67,219,1799,2.5,214,15,5.9
98,1529,945,67,219,1805,2.5,214,16,5.9
98,1529,945,67,220,1799,2.5,216,16,5.9
99,1526,945,67,221,1799,2.5,211,16,5.9
99,1529,945,67,220,1802,2.5,214,17,5.9
98,1527,945,67,221,1799,2.5,215,16,5.9
98,1529,945,66,219,1802,2.5,210,15,5.9
99,1529,945,66,220,1799,2.5,210,15,5.9
99,1530,945,66,218,1799,2.5,208,15,5.9
99,1530,945,66,219,1778,2.5,208,17,5.9
99,1528,945,66,219,1750,2.5,207,14,5.9
99,1529,945,66,219,1710,2.5,206,17,5.9
99,1529,945,66,221,1674,2.5,206,15,5.9
99,1529,945,66,218,1622,2.5,206,15,5.9
99,1532,945,66,221,1575,2.5,201,15,5.9
98,1529,945,67,221,1533,2.5,206,14,5.9
98,1526,945,67,220,1492,2.5,203,15,5.9
98,1528,945,67,219,1460,2.5,205,18,5.9
99,1526,945,67,219,1428,2.5,205,16,5.9
99,1528,945,67,219,1422,2.5,207,15,5.9
99,1528,945,68,219,1426,2.5,207,16,5.9
99,1529,945,68,220,1454,2.5,205,17,5.9
99,1527,945,68,220,1487,2.5,207,15,5.9
99,1529,945,68,220,1522,2.5,202,17,5.9
99,1526,945,68,218,1559,2.5,206,15,5.9
96,1528,945,69,220,1592,2.5,205,16,5.9
99,1525,945,69,218,1624,2.5,202,16,5.9
99,1527,945,69,218,1632,2.5,202,16,5.9
99,1527,945,69,221,1632,2.5,202,15,5.9
99,1526,945,68,220,1602,2.5,203,16,5.9
99,1527,945,68,220,1582,2.5,203,16,5.9
99,1531,945,69,220,1563,2.5,205,17,5.9
99,1526,945,69,219,1533,2.5,204,18,5.9
99,1525,945,69,218,1502,2.5,204,21,5.9
99,1525,945,69,219,1494,2.5,206,17,5.9
98,1526,945,70,220,1494,2.5,206,16,5.9
99,1527,945,70,219,1494,2.5,207,14,5.9
99,1524,945,69,220,1496,2.5,209,15,5.9
99,1525,945,69,218,1496,2.5,208,15,5.9
99,1524,945,70,219,1496,2.5,208,14,5.9
99,1526,945,71,220,1496,2.5,208,15,5.9
99,1523,945,70,220,1496,2.5,210,14,5.9
99,1523,945,70,218,1494,2.5,207,17,5.9
99,1524,945,71,220,1492,2.5,209,17,5.9
99,1523,945,71,219,1494,2.5,209,16,5.9
99,1523,945,71,219,1518,2.5,209,15,5.9
99,1524,945,71,219,1527,2.5,208,16,5.9
99,1522,945,71,221,1529,2.5,209,15,5.9
99,1523,945,71,219,1529,2.5,208,14,5.9
99,1522,945,70,218,1531,2.5,208,15,5.9
99,1521,945,71,221,1531,2.5,208,15,5.9
99,1522,945,71,220,1531,2.5,209,16,5.9
99,1523,945,71,218,1522,2.5,208,16,5.9
99,1521,945,71,219,1498,2.5,209,16,5.9
99,1521,945,71,219,1494,2.5,209,16,5.9
98,1523,945,71,219,1496,2.5,208,15,5.9
99,1522,945,71,221,1496,2.5,209,17,5.9
99,1521,945,72,219,1496,2.5,209,15,5.9
95,1522,945,71,220,1494,2.5,209,16,5.9
99,1520,945,71,220,1494,2.5,209,15,5.9
99,1519,945,72,219,1496,2.5,208,16,5.9
99,1521,945,71,220,1496,2.5,209,16,5.9
95,1520,945,72,217,1496,2.5,208,14,5.9
98,1522,945,71,220,1498,2.5,208,14,5.9
